,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switching-cost-rt-taskswitch,relative-switching-cost-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
89,307,POST_TEST,443.75,0.84,0.493333333333333,0.52,97.6190476190476,20.8333333333333,0.885714285714286,1,0.5,0.6875,0.625,0.5625,0.3125,0.9,0.6,0.45,0.4,0.2,0.916666666666667,0.333333333333333,0.5,0,0.083333333333333
90,308,PRE_TEST,753.722222222222,0.906666666666667,0.733333333333334,0.64,280.589743589744,-167.701754385965,0.342857142857143,0.2,0.375,0.125,0.375,0.375,0.0625,0.65,0.4,0.3,0.2,0.25,0.833333333333333,0.416666666666667,0.083333333333333,0,0
91,308,POST_TEST,760.705882352941,0.96,0.653333333333333,0.573333333333333,112.511111111111,-26.8823529411765,0.142857142857143,0.2,0.1875,0.4375,0.125,0.125,0.1875,0.55,0.45,0.5,0.25,0.35,0.75,0.083333333333333,0.166666666666667,0,0.083333333333333
92,309,PRE_TEST,480.117647058824,0.933333333333333,0.72,0.573333333333333,47.8863636363636,-49.3846153846154,0.85,0.75,0.5625,0.6875,0.9375,0.75,0.375,0.8,0.55,0.15,0.2,0,0.916666666666667,0.833333333333333,0.75,0.083333333333333,0.083333333333333
93,309,POST_TEST,537.166666666667,0.92,0.706666666666667,0.586666666666667,72.8260869565217,57.68,0.9,1,0.75,0.625,0.625,0.8125,0.625,0.75,0.55,0.5,0.2,0,0.916666666666667,0.833333333333333,0.666666666666667,0.416666666666667,0.166666666666667
94,310,PRE_TEST,458.764705882353,0.866666666666667,0.68,0.56,263.023255813954,68.9433962264151,0.55,0.4,0.6875,0.625,0.75,0.625,0.25,1,0.6,0.7,0.5,0.3,0.666666666666667,0.916666666666667,0.75,0.416666666666667,0.25
95,310,POST_TEST,419,0.866666666666667,0.786666666666667,0.586666666666667,171.888888888889,133.333333333333,0.75,0.65,0.5625,0.5625,0.6875,0.6875,0.25,0.85,0.85,0.65,0.3,0.15,0.916666666666667,0.666666666666667,0.75,0.25,0.5
96,311,PRE_TEST,758.611111111111,0.693333333333333,0.533333333333333,0.573333333333333,190.279069767442,-46.0566037735849,0.2,0.2,0.5625,0.8125,0.9375,0.875,0.5625,0.7,0.25,0.15,0.2,0.2,0.833333333333333,0.416666666666667,0.083333333333333,0.083333333333333,0
97,311,POST_TEST,633.4375,0.746666666666667,0.6,0.586666666666667,176.439024390244,-29.1454545454545,0.171428571428571,0,0.8125,0.9375,1,0.875,0.9375,0.75,0.65,0.45,0.25,0.2,0.75,0.333333333333333,0.166666666666667,0,0
98,318,PRE_TEST,512.111111111111,0.88,0.733333333333333,0.6,19.2083333333333,58,0.6,0.4,0.5,0.4375,0.625,0.625,0.25,0.95,0.75,0.85,0.75,0.4,0.916666666666667,0.75,0.666666666666667,0.083333333333333,0.083333333333333
99,318,POST_TEST,531.444444444445,0.96,0.76,0.546666666666667,-82.9821428571429,220.475,0.85,0.9,0.375,0.625,0.8125,0.8125,0.4375,1,0.85,0.75,0.65,0.35,1,0.916666666666667,0.666666666666667,0.333333333333333,0.333333333333333
